id	sentence	about_affect	about_spatial	about_topic
44	Religion was the first vehicle for general thoughts <head>about</head> existence .	0	0	1
45	He felt safe with Jordan , and for this reason viciously pushed all thoughts <head>about</head> Zambia to the back of his mind .	0	0	1
46	And it was certainly an improvement on my thoughts <head>about</head> the core curriculum .	0	0	1
47	With planning it is possible for all of us to clarify our thoughts <head>about</head> our hopes and future needs .	0	0	1
48	As a result , Mario is no admirer of socialism in any form -- though , quite untypically of racing drivers , he has some serious thoughts <head>about</head> politics .	0	0	1
49	But what were his thoughts <head>about</head> his duties as archbishop ?	0	0	1
50	He checked the door of the church was locked and stood engrossed in his own thoughts <head>about</head> Cranston .	0	0	1
51	"I thought you understood <head>about</head> coitus , I thought you appreciated what being my licentiate entailed ? """	0	0	1
52	He thought he understood now <head>about</head> Zoser .	0	0	1
53	He was most understanding <head>about</head> the needs of our party .	0	0	1
54	There must always be the fear that , however good a writer may be involved , the depiction of mental handicap will be unrealistic because the writer will have no real understanding <head>about</head> the subject .	0	0	1
55	Two people who speak the same language can always work towards an understanding <head>about</head> what each of them is talking about and what each of them wishes to achieve by what they say .	0	0	1
56	The parents needed not only extensive marital therapy but also to realize that Suzy needed sympathy and understanding <head>about</head> the distress she felt when her parents argued .	0	0	1
57	The Princess had spent the previous day reading Love and Pain , Sandra 's book on violent relationships , and was able to speak with some understanding <head>about</head> domestic violence .	0	0	1
58	Now that the group has come to a better understanding <head>about</head> some aspect of these problems , how can they feel Empowered to act for change ?	0	0	1
59	Kohler thought that insight , or sudden understanding <head>about</head> what is required to produce a desired effect was shown by the chimpanzees in his experiments .	0	0	1
60	The book was open at Pythagoras ' discovery <head>about</head> the relative lengths of the sides of a right-angled triangle , and Hobbes was amazed by Euclid 's proof of this complex idea .	0	0	1
61	The first was a remarkable discovery <head>about</head> Lord of the Flies .	0	0	1
62	SERAFIN : You sound as if you are making a cautious discovery <head>about</head> your feelings for the first time .	0	0	1
63	Nevertheless , if we are ever to make new discoveries <head>about</head> intonation , it will be as a result of studying what people actually say rather than inventing examples of what they might say .	0	0	1
64	"I know you 're unhappy , but you ca n't sit indoors and brood <head>about</head> it all day . """	0	0	1
65	It was no use brooding <head>about</head> it , but what else could she do ?	0	0	1
66	But Carrie brooded <head>about</head> it all the same .	0	0	1
67	I 've been brooding <head>about</head> that myself ever since I heard .	0	0	1
68	"` You 're still brooding <head>about</head> Rosie , are n't you ? "" he said ."	0	0	1
69	In spite of all this , the design process itself is often thought about and executed without any formal considerations <head>about</head> people .	0	0	1
70	This leads on to some general considerations <head>about</head> decision-making in a bureaucracy .	0	0	1
71	Our interest in standard mechanisms for data encoding and exchange need not be driven , then , by altruistic considerations <head>about</head> the value of secondary analysis .	0	0	1
72	General considerations <head>about</head> this sort of thing .	0	0	1
73	I have an awful suspicion that morning TV here could soon lurch towards its American counterpart , with deep daily deliberations <head>about</head> you and your psyche/milkman/rocking horse/ puma/postman .	0	0	1
74	The middle of the passage was , however , rather different since it concerned a motorcyclist 's deliberations <head>about</head> the nature of empiricism , and it was considerably more difficult to understand .	0	0	1
75	"As we become more proficient in meditating <head>about</head> the ` I and Thou "" , so will we find more beauty ."	0	0	1
76	After dinner Leonora returned to her knitting , glad of its soothing monotony , when Penry began musing <head>about</head> her background .	0	0	1
77	Charles and Diana frequently visited their brother John 's lichen-covered grave in the Sandringham churchyard and mused <head>about</head> what he would have been like and whether they would have been born if he had lived .	0	0	1
78	They would be moving , and he pondered <head>about</head> that move , thinking about the gun .	0	0	1
79	` The party needs a period of serious reflection <head>about</head> what went wrong and what needs to be done .	0	0	1
80	But Christian Aid has also recognised -- for example in grants to the Institute of Contextual Theology in South Africa -- the value of church groups ' reflection <head>about</head> development in support of its practice .	0	0	1
81	What , then , can we conclude <head>about</head> the contribution that political sociology has made to understanding more clearly the main trends of political change in the twentieth century , and to influencing the course of events ?	0	0	1
82	Drucker concluded <head>about</head> decision analysis that : ` A decision should always be made at lowest level and as close to the scene of action as possible	0	0	1
83	Presentations of costs of residential and fostering care and intermediate treatment which ignore these important considerations can result in unjustified conclusions <head>about</head> cost effectiveness .	0	0	1
84	The main conclusion <head>about</head> education and employment was that purely educational aims came first : schools should not prepare pupils for particular types of employment ; industry itself benefited from the teaching and learning of basic educational skills .	0	0	1
85	I 've come to a lot of conclusions <head>about</head> myself within the last four months .	0	0	1
86	As you can see , I 've never had as much difficulty in coming to a conclusion <head>about</head> any piece of software .	0	0	1
87	Of particular significance to our discussion in this chapter is her conclusion <head>about</head> the way in which technology appears to influence organisational structure at the two ends of the scale of technological complexity .	0	0	1
88	Darwin and Wallace came to the same conclusion <head>about</head> archipelago birds .	0	0	1
89	As viewers of this scene we could also have deduced something <head>about</head> the relationship between John and Mary from the way they were sitting together and the way they looked at each other .	0	0	1
90	In these circumstances facile and fallacious deductions <head>about</head> the consequences of having abolished the death penalty were bound to be rife .	0	0	1
91	The basic answer lies in the guesses <head>about</head> future cash flow .	0	0	1
92	People may vote with one hand on their wallets , but their guesses <head>about</head> future prosperity are tangled up with judgments of the competing politicians .	0	0	1
93	It appeared that my guess <head>about</head> the tide had been near enough .	0	0	1
94	So let me begin by making some impressionistic guesses <head>about</head> the views women do in fact currently hold on morality .	0	0	1
95	"` Can you make any guesses <head>about</head> who might have done this ? "" asked Jean ."	0	0	1
96	And now he found himself wondering whether she knew or guessed <head>about</head> Amy .	0	0	1
97	How much could you guess <head>about</head> a conversation between two people walking along a country lane for example ?	0	0	1
98	He had wondered , also , how much the mediciner had been able to guess <head>about</head> his own mind and nature .	0	0	1
99	Second , when making an assessment , information about what a child is able to do in one situation must necessarily form the basis of inferences <head>about</head> what a child might be able to do in other situations .	0	0	1
100	In order to draw causal inferences <head>about</head> the educational consequences of being in care , a longitudinal study has been designed .	0	0	1
101	Using animals in experiments requires us to make inferences <head>about</head> psychological processes from behaviour .	0	0	1
102	Inferences <head>about</head> mind are thus made from descriptions .	0	0	1
103	In order to draw causal inferences <head>about</head> the educational consequences of being in care , a longitudinal study has been designed .	0	0	1
104	"` I learned a lot <head>about</head> men , "" she said ."	0	0	1
105	But you can t spend a lifetime in a shipping office without learning something <head>about</head> ships .	0	0	1
106	I had learned something <head>about</head> the protest vote .	0	0	1
107	I was aware of the enormous distances , especially for those in the West , although I learned a lot more <head>about</head> this simply be being there .	0	0	1
108	There is still much to learn <head>about</head> this family of chemicals and it is obviously prudent to reduce the levels wherever practicable to do so .	0	0	1
109	We are aware that many employees are interested to learn <head>about</head> what Wood Group companies do and where they are located .	0	0	1
110	In the next few days Creggan began to learn <head>about</head> the Zoo in which he was now imprisoned .	0	0	1
111	As Jaq questioned Meh'Lindi yet again so as to compare her impressions with his , a sickening realization <head>about</head> the probable nature of the hydra dawned on him .	0	0	1
112	Now write as much as you can about Auntie the sort of person she was , what members of her family thought of her , what her niece realises <head>about</head> her at the end .	0	0	1
113	In fact , she noticed , there was something ever so slightly contemptuous <head>about</head> his expression .	0	0	1
114	There is a social stigma <head>about</head> suicide and his family do n't believe he did it .	1	0	0
115	This found that girls who had felt isolated and embarrassed about being pregnant or having babies felt less stigma <head>about</head> this after they had attended the units and could take a much more realistic view of their situation .	1	0	0
116	Though literary festivals could be immensely enjoyable , especially if they took you to some pleasant distant city , like Toronto or Adelaide , there was something absurd <head>about</head> writers gathering together in this way .	0	0	1
117	And I ' m fairly canny <head>about</head> my career , despite what you might think .	0	0	1
118	She is careless <head>about</head> her possessions , even though she enjoys them -- the houses , the cars , the money .	0	0	1
119	You should be as devious and cunning <head>about</head> this as the book is itself .	0	0	1
120	MOST New Yorkers are cynical <head>about</head> current efforts to clean mobsters out of their city 's waste-disposal business - - and with good reason .	0	0	1
121	Not having done very well at school ( not even allowed to sit the Oxbridge exams ) , she had nevertheless been diligent <head>about</head> her piano lessons , and was in fact quite good on the instrument .	0	0	1
122	"Increased awareness of ` green "" issues , together with fierce competition , means consumers are more discerning <head>about</head> the environmental impact of the products they buy ."	0	0	1
123	Basil could read with ease the natural image-making of children and was in fact deeply knowledgeable and perceptive <head>about</head> the developmental stages of children 's drawings .	0	0	1
124	Indeed she had been sharp and perceptive <head>about</head> people .	0	0	1
125	"` But so are you , "" I protested , really astonished because he had been so reasonable <head>about</head> my activities up to now ."	0	0	1
126	In its early days software is tested by programmers and expert , hand picked users , who tend to be reasonable <head>about</head> they way they use machines .	0	0	1
127	You knew he was smart <head>about</head> cars ; he was savvy about life too .	0	0	1
128	To be blunt <head>about</head> it , the challenge confronting Mr Heseltine is how to maintain his momentum .	0	0	1
129	Yet this does not stop him being blunt <head>about</head> Rhoda the Rhino -- otherwise known as Margaret Thatcher	0	0	1
130	I 'm his sister , so I can be blunt <head>about</head> it .	0	0	1
131	Once the client has received his or her compensation , they are often prepared to be quite candid <head>about</head> the way the case was handled .	0	0	1
132	Officials are coy <head>about</head> the details .	0	0	1
133	Conservative Central Office is coy <head>about</head> his involvement , still maintaining that Major writes his own speeches .	0	0	1
134	Official reports into local government administration have in the past been extremely coy <head>about</head> the significance of such Partisanship for the matters they investigated .	0	0	1
135	The Labour party has become ever so coy <head>about</head> the details of its renationalisation plans .	0	0	1
136	The hon. Member for Sedgefield has been uncharacteristically coy <head>about</head> the Labour party 's attitude to training credits .	0	0	1
137	"Why be coy <head>about</head> it ? """	0	0	1
138	And secondly , and very much wrapped up in the same point with this , they 're also coy <head>about</head> the sort of people they 're looking for .	0	0	1
139	"The Soviet news agency , Tass , was also explicit <head>about</head> developments in Romania , stating that ` tension was high "" inside Timisoara ."	0	0	1
140	So a national curriculum in English must reflect our values and beliefs , and we need to be as explicit <head>about</head> these as possible .	0	0	1
141	A self-appointed leader , he made the rules without being explicit <head>about</head> them or even explaining that there were rules .	0	0	1
142	She could hardly have been much of a friend of Liza because , although her daughter had never been forthcoming <head>about</head> her time in the ATS , she had certainly never mentioned an Eleanor Fuller .	0	0	1
143	"Not too forthcoming <head>about</head> himself , was he ? """	0	0	1
144	He was quite frank <head>about</head> the whole thing , told us H. had given him a fiver to turn up , asked Madge if she wanted to go through with it , which of course she did n't .	0	0	1
145	"` Let us be frank <head>about</head> it , "" he said ."	0	0	1
146	Macmillan was very frank <head>about</head> his personal preference .	0	0	1
147	Lessing -- for us the first of these theoreticians -- is quite frank <head>about</head> the strictly functional purpose of his concern with Aristotle .	0	0	1
148	In fact Elisa was not being entirely honest <head>about</head> her situation .	0	0	1
149	Write yourself a new script in which you are open and honest <head>about</head> your anger .	0	0	1
150	In many instances , no doubt , it 's true , but Canon Ian Hardaker , clergy appointments adviser , is refreshingly honest <head>about</head> the need to improve the intellectual calibre of the would- be clergy .	0	0	1
151	Always be honest <head>about</head> your intentions or you may regret it later .	0	0	1
152	"Be honest <head>about</head> your own feelings ? """	0	0	1
153	Well , if that 's the reason they should at least be honest <head>about</head> it .	0	0	1
154	Where the tutorial focuses on current productions , I have found that students will work hard on their performances and be open <head>about</head> their work and any problems they may be having with the characters they are playing .	0	0	1
155	You need to be open <head>about</head> the way you have chosen to behave .	0	0	1
156	Emotional awareness , ie being open <head>about</head> feelings and having empathy for how other people are feeling	0	0	1
157	Whatever the strength of Phillip 's affection for Marje , he was open <head>about</head> the void that Meli had left in his life .	0	0	1
158	Equally , many countries would do well to acknowledge the honesty of subSaharan nations in being largely open <head>about</head> the nature and scale of the epidemic within their borders .	0	0	1
159	You were so open <head>about</head> your admiration for him .	0	0	1
160	World Cup assistant coach Bob Templeton , an indomitable figure in most things rugby for more than 20 years , is outspoken <head>about</head> the game guiding its future .	0	0	1
161	` Many people will note that British ministers and other politicians are not as outspoken <head>about</head> other deaths arising out of this conflict .	0	0	1
162	Although outspoken <head>about</head> others , Fenton was naturally shy and very sensitive to criticism of himself .	0	0	1
163	In fact , he was often quite outspoken <head>about</head> people , though usually with reference to their harmless foibles .	0	0	1
164	` She was n't outspoken <head>about</head> her political views .	0	0	1
165	I am often secretive <head>about</head> what I eat , trying to hide it from my friends and family .	0	0	1
166	There was no intention to be secretive <head>about</head> the Iraqi contract and there is no cover up .	0	0	1
167	Whatever the courtesy , the Profitboss is sincere <head>about</head> it .	0	0	1
168	"` I 'm completely sincere <head>about</head> it , "" he said ."	0	0	1
169	And Fry was straightforward <head>about</head> his own perceptions .	0	0	1
170	Both books imply what childhood should be like by being very straightforward <head>about</head> the present reality for all too many of the world 's children .	0	0	1
171	This sounds counter-productive , but the theory is that all those self-employed lawyers and doctors and dentists will be more truthful <head>about</head> their income if the government is demanding less of it from them .	0	0	1
172	The spivs will wave away any objections with promises <head>about</head> easy resale , low cost finance and tiny deposit payments .	0	0	1
173	The politicians made vague promises <head>about</head> independence .	0	0	1
174	Videotapes of school activities are a useful means of communicating <head>about</head> work undertaken at school .	0	0	1
175	Improved communication <head>about</head> children and the problems which they faced outside school was not simply a consequence of a rapidly changing society .	0	0	1
176	"There is a good deal of informal communication <head>about</head> courses in particular subjects , some of it passing along the external examiner grapevine , some of it through the ` invisible colleges "" of research networks ."	0	0	1
177	But some of the headmasters have a deliberate multi-denominational policy in terms of ethos and curriculum and the schools do provide multi-denominational settings which , if researched , could throw light on debates <head>about</head> denominational and shared schools .	0	0	1
178	"One said : ` Every time there is debate <head>about</head> women in the services , they produce stories of widespread sex as an argument against us . """	0	0	1
179	The football authorities have debated endlessly <head>about</head> the impact of these changes on their game .	0	0	1
180	The second step is promoting participatory dialogue <head>about</head> these concerns .	0	0	1
181	Mrs Jones expected feedback and dialogue <head>about</head> the development of an intervention strategy .	0	0	1
182	"On the other hand , there are those on both sides whom I would label ` meaning "" theists and ` meaning "" atheists , between whom a dialogue <head>about</head> God 's existence can take place ."	0	0	1
183	Mrs Jones expected feedback and dialogue <head>about</head> the development of an intervention strategy .	0	0	1
184	The record of his own work and ideas meant that the only dull part of this programme was a tired , conventional exchange <head>about</head> the balance between pure and applied research .	0	0	1
185	It is unique in its opportunities to establish from the outset good habits in terms of expectations of parental involvement and willingness to participate in honest exchange <head>about</head> the child 's progress .	0	0	1
186	Some exchange <head>about</head> holidays , even the weather , sets the scene ; then the interview can begin .	0	0	1
187	He and I have had a series of meetings <head>about</head> the provision of the slip road , and he reminded me of an undertaking that I had given when Minister responsible for health matters a few years ago .	0	0	1
188	We have had a few meetings <head>about</head> the rule but they have always brought in extra bodies to out-vote us .	0	0	1
189	She said neither company had bothered to attend a public meeting <head>about</head> the proposed speed restrictions .	0	0	1
190	Prof Dick Van Velzen , of Liverpool University 's Department of Foetal and Infant Pathology , said : ` We held a meeting <head>about</head> this on Thursday and Friday .	0	0	1
191	"` Was that the meeting <head>about</head> women and the family ? """	0	0	1
192	On one occasion she planned to fly up to Scotland for a meeting <head>about</head> the children 's work .	0	0	1
193	She said neither company had bothered to attend a public meeting <head>about</head> the proposed speed restrictions .	0	0	1
194	"Wycliffe said : ` Obviously you 've heard <head>about</head> Francis Garland -- how did you hear , by the way ? """	0	0	1
195	No doubt we shall hear <head>about</head> the street children from Amnesty other sources from time to time .	0	0	1
196	He read <head>about</head> the unemployed in newspapers and saw films about them on television , pacing across photogenic sections of contemporary Britain and muttering darkly about waste and emptiness .	0	0	1
197	He kept babbling then <head>about</head> some fiend that had taken possession of him .	0	0	1
198	But I can remember my father coming back from the death bed and saying the old man was babbling <head>about</head> a grandson .	0	0	1
199	He chattered <head>about</head> bills of sale , the purchase of canvas and parchment , the cost of carters and the money needed for ship and crew .	0	0	1
200	Benjamin appeared to be in better humour and chattered <head>about</head> the history of the chateau as we broke our fast in the great hall .	0	0	1
201	At first she was shy but then she chattered <head>about</head> Nantes , how she missed the dark woods and green fields of Brittany .	0	0	1
202	Leila threw herself on Quincx , gabbling <head>about</head> what happened .	0	0	1
203	He jabbered <head>about</head> football for the first five minutes to smother her angry silence .	0	0	1
204	"The girl , obviously acutely embarrassed , mumbled something <head>about</head> Bert maybe knowing a bit more , ` him being there , like "" ."	0	0	1
205	He mumbles some nonsense <head>about</head> clowns being the cause of peace -- perhaps the money for the convention is the peace dividend ?	0	0	1
206	Waller , still retreating , turning away to go back into his room , had mumbled something <head>about</head> something or other .	0	0	1
207	"Only one old lay brother , a hoary old man , mumbled <head>about</head> the abbey being the dark pit for the evil deeds of the Great Ones of the land . """	0	0	1
208	` Nothing of importance , he just mumbled <head>about</head> shadows , shadows on the Kinghorn Ness .	0	0	1
209	Rutherford was muttering something <head>about</head> a by-pass always changing a country community , as if he felt the need to apologise for the place .	0	0	1
210	Lord Wakeham , who had come with the necessary cheque , had muttered something <head>about</head> boys being boys , and that Robertson would do well to go to his hotel and sleep it off .	0	0	1
211	Sir John had then stamped off , muttering curses <head>about</head> public officials who did n't seem to care .	0	0	1
212	He muttered something <head>about</head> the place being primitive .	0	0	1
213	He turned away , muttering something <head>about</head> Vincent 's vicious character .	0	0	1
214	Somebody was muttering <head>about</head> a bomb scare at Marks , which accounted for the influx .	0	0	1
215	Dameta had taken one look at her heated countenance when she 'd emerged from the pleasance , and had ordered her to bed , muttering <head>about</head> fevers and the carelessness of wandering about in gardens without a mantle .	0	0	1
216	As they headed off on their Whitsun holiday , backbenchers were already muttering <head>about</head> the next shake-up .	0	0	1
217	Gran had been muttering <head>about</head> storms for days and she liked her to stay close at these times .	0	0	1
218	"Debussy 's answer to a journalist who asked if he was familiar with heaven -- ` yes , but I do n't natter <head>about</head> it with strangers "" - is not so silly as it sounds ."	0	0	1
219	Like so many kindly , amiable people , he was a confirmed gossip and loved to prattle <head>about</head> his friends ' affairs .	0	0	1
220	He was raving <head>about</head> Armageddon and the fires of hell .	0	0	1
221	A farmer has every right to rant and rave <head>about</head> such clowns .	0	0	1
222	He raved <head>about</head> Hitchcock , about Bogart and Raymond Chandler .	0	0	1
223	Basically everyone raved <head>about</head> Leeds that day -- and Tuesday was a comfortable if a little uninspired .	0	0	1
224	If the popular music press start raving <head>about</head> you , people will flock to your gigs .	0	0	1
225	But in contrast to Mama Mosambiki 's oblique approach , the Kafala Brothers have chosen in this album to sing directly <head>about</head> the cruelty and devastation of civil war in Angola .	0	0	1
226	It is not surprising that he found in addition to writing about her , he had to sing <head>about</head> her , too .	0	0	1
227	` But I 'll argue until the day I die that we are singing <head>about</head> something serious .	0	0	1
228	"I just sing <head>about</head> stuff that 's directly involved with me . """	0	0	1
229	"` If you so much as whisper a word <head>about</head> Dame Agatha to the Lady Maeve , you will regret the day I ever plucked you out of Newgate ! """	0	0	1
230	"I 've had enough of being talked about , everybody whispering <head>about</head> Auntie Mavis 's seances , everybody blaming me just for living with her . """	0	0	1
231	Outside , she and Oliver whispered <head>about</head> Shildon .	0	0	1
232	As we pass a couple of girl guests clad in complete colour-coordinated beachwear outfits , they whisper <head>about</head> us .	0	0	1
233	All you did was sit round like some old colonel in an Agatha Christie book , bellowing <head>about</head> the country going to the dogs .	0	0	1
234	When the firemen finally arrived I pointed at the sacrificial pyre still burning and burbled something <head>about</head> my priceless slide-collection .	0	0	1
235	This allowed the company to crow <head>about</head> the new models that cost no more than the old -- a favourite Ford device but by no means exclusive to the blue oval badge .	0	0	1
236	Those who thought it would fall to pieces within 5000 miles were confounded , even if those who hoped it would sail the test with BMW-like dependability could hardly crow <head>about</head> its reliability record .	0	0	1
237	Well who are the ones that are moaning and groaning <head>about</head> it ?	0	0	1
238	When I got there they moaned <head>about</head> all the clothes and stuff I had , because you have to take everything with you when they move you about .	0	0	1
239	Second , MPs moan <head>about</head> the cramped conditions they work in .	0	0	1
240	We can compare the growth of our peas and beans , and moan <head>about</head> the weather .	0	0	1
241	Their doctor had murmured something <head>about</head> a weak heart , but Lord Grafton had dismissed the warning , saying the physician was an old woman .	0	0	1
242	At night , as they huddled round their fires , the people would murmur <head>about</head> the evil spirit who kicked holes in their kilns so that they had to buy their bricks from Dai Huang .	0	0	1
243	Every few years , people in industrial circles murmur <head>about</head> what would happen if supplies were cut off , for political or commercial reasons .	0	0	1
244	Apart from all the weird letters I get from Scotsman readers , there are continuous phone calls to my house , maniacal voices who scream hoarsely <head>about</head> deadlines and copy .	0	0	1
245	The strongest disapproval often comes from those who scream <head>about</head> liberties if their own particular indulgences -- for assault rifles , say -- are attacked .	0	0	1
246	And then Mike ran off screaming <head>about</head> snakes .	0	0	1
247	"The opposition is screaming <head>about</head> a "" travesty of democracy "" ."	0	0	1
248	I am resisting the temptation to thunder <head>about</head> AIDS being a judgment upon them , etc .	0	0	1
249	THE PUNK generation now spend half their time whining <head>about</head> the smothering blanket of baby boomer nostalgia .	0	0	1
250	"They do n't sweat and whine <head>about</head> their condition , they do n't lie awake in the dark and weep for their sins . """	0	0	1
251	The other waitress whined <head>about</head> the increased work when Sharon explained what was happening but Blanche silenced her with a steely glare .	0	0	1
252	Service wives did not grill their husbands <head>about</head> bloody work .	0	0	1
253	None of them really grilled Mr Major <head>about</head> Maastricht .	0	0	1
254	"` I thought you came round here to ask if I 'd seen anything suspicious last night , not grill me <head>about</head> my sex life . """	0	0	1
255	"In his quiet way he really grilled me <head>about</head> Sandy . """	0	0	1
256	She grilled him <head>about</head> women she saw in hotel lobbies , as if he knew each one personally .	0	0	1
257	I was not prepared to travel 140 miles to and from work each day , nor to live away from home on a long term basis , so I inquired <head>about</head> part time training .	0	0	1
258	A lot of people are inquiring <head>about</head> remortgages but often when they find out what exactly is involved they are happy to stay where they are .	0	0	1
259	Let ministers of local churches have copies as a good exercise in public relations and also just in case they have new members of their flock inquiring <head>about</head> schools in the area .	0	0	1
260	SHOE repairer Alan Potts announced his good news in big letters after being inundated with inquiries <head>about</head> his daughter 's new baby .	0	0	1
261	He made the usual inquiries <head>about</head> her health and escaped into the kitchen to make the coffee .	0	0	1
262	Hordes of listeners rushed to the beach to catch a glimpse of the star and the cameras , and inundated the radio station with inquiries <head>about</head> the exact location .	0	0	1
263	Jovial inquiries <head>about</head> illegal subsidies to industry , Rover for instance , got short shrift .	0	0	1
264	An information office is shortly to be set up by East Hampshire District Council to answer queries <head>about</head> the drainage work taking place in the village .	0	0	1
265	He thanked her but countered cunningly with a query <head>about</head> who her friends might be .	0	0	1
266	If you have a query <head>about</head> information mentioned in a particular feature ask the person who wrote it !	0	0	1
267	With that check came renewed questioning <head>about</head> the balance between services provided by the social services departments and the many forms of family , neighbourhood and commercially purchased care that they supplemented .	0	0	1
268	She also had to parry some delighted but pointed questioning <head>about</head> Rohan .	0	0	1
269	In general , responses to direct or indirect questioning <head>about</head> non-standard varieties are always conditioned by speakers ' awareness of their social significance and usually reflect knowledge of the standard rules .	0	0	1
270	Tactful questioning <head>about</head> bowel habit is usually part of patient assessment in surgical wards for several reasons :	0	0	1
271	With that check came renewed questioning <head>about</head> the balance between services provided by the social services departments and the many forms of family , neighbourhood and commercially purchased care that they supplemented .	0	0	1
272	Wafting vague answers <head>about</head> DNA are totally inadequate in the face of such mysteries .	0	0	1
273	He ca n't give me any straight answers <head>about</head> all this because he is only concerned with the state-run prison service .	0	0	1
274	Answers <head>about</head> personal qualities and abilities are harder to interpret , although experience does make it easier .	0	0	1
275	Leon Brittan , made a statement in a written Parliamentary answer <head>about</head> the release of prisoners on parole licences .	0	0	1
276	He was midway through a wobbly answer <head>about</head> sex , about losing his virginity .	0	0	1
